,rnti,tti,newTx,reTx,avgHarqID,id,percnt
188,4,2,434,140,7.036585365853658,190,0.24390243902439024
189,5,2,434,140,7.036585365853658,191,0.24390243902439024
190,6,2,434,140,7.036585365853658,192,0.24390243902439024
191,7,2,434,140,7.036585365853658,193,0.24390243902439024
192,8,2,434,140,7.036585365853658,194,0.24390243902439024
193,9,2,434,140,7.036585365853658,195,0.24390243902439024
194,10,2,434,140,7.036585365853658,196,0.24390243902439024
195,1,7,88,107,2.3230769230769233,197,0.5487179487179488
196,2,7,88,107,2.3282051282051284,198,0.5487179487179488
197,3,7,86,109,2.3384615384615386,199,0.558974358974359
198,4,7,87,108,2.3282051282051284,200,0.5538461538461539
199,5,7,87,108,2.3333333333333335,201,0.5538461538461539
200,1,4,233,138,4.784366576819407,202,0.3719676549865229
201,2,4,233,138,4.784366576819407,203,0.3719676549865229
202,3,4,233,138,4.784366576819407,204,0.3719676549865229
203,4,4,233,138,4.784366576819407,205,0.3719676549865229
204,5,4,233,138,4.784366576819407,206,0.3719676549865229
205,1,2,434,140,7.036585365853658,207,0.24390243902439024
206,2,2,434,140,7.036585365853658,208,0.24390243902439024
207,3,2,434,140,7.036585365853658,209,0.24390243902439024
208,4,2,434,140,7.036585365853658,210,0.24390243902439024
209,5,2,434,140,7.036585365853658,211,0.24390243902439024
210,1,7,647,241,5.615990990990991,212,0.2713963963963964
211,2,7,648,243,5.662177328843995,213,0.2727272727272727
212,3,7,647,230,5.5974914481185865,214,0.26225769669327254
213,4,7,646,232,5.569476082004556,215,0.2642369020501139
214,5,7,650,234,5.600678733031674,216,0.2647058823529412
215,6,7,647,226,5.569301260022909,217,0.2588774341351661
216,7,7,644,225,5.525891829689298,218,0.25891829689298046
217,8,7,648,237,5.6305084745762715,219,0.2677966101694915
218,9,7,649,240,5.643419572553431,220,0.26996625421822273
219,10,7,653,222,5.572571428571429,221,0.2537142857142857
220,11,7,649,229,5.572892938496583,222,0.2608200455580866
221,12,7,654,221,5.563428571428571,223,0.25257142857142856
222,13,7,648,227,5.581714285714286,224,0.25942857142857145
223,14,7,651,226,5.581527936145952,225,0.2576966932725199
224,15,7,646,245,5.668911335578002,226,0.27497194163860833
225,1,4,112,155,1.5842696629213484,227,0.5805243445692884
226,2,4,116,159,1.6145454545454545,228,0.5781818181818181
227,3,4,121,139,1.4923076923076923,229,0.5346153846153846
228,4,4,118,143,1.5440613026819923,230,0.5478927203065134
229,5,4,120,130,1.488,231,0.52
230,6,4,117,131,1.4919354838709677,232,0.5282258064516129
231,7,4,119,144,1.570342205323194,233,0.5475285171102662
232,8,4,112,156,1.6044776119402986,234,0.582089552238806
233,9,4,119,164,1.6501766784452296,235,0.5795053003533569
234,10,4,120,146,1.5639097744360901,236,0.5488721804511278
235,11,4,113,140,1.5494071146245059,237,0.5533596837944664
236,12,4,114,151,1.5509433962264152,238,0.569811320754717
237,13,4,117,148,1.6037735849056605,239,0.5584905660377358
238,14,4,112,147,1.5173745173745175,240,0.5675675675675675
239,15,4,112,155,1.5842696629213484,241,0.5805243445692884
