,RNTI,Frame,Slot,Grant type,RBG,Start Sym,Num Sym,MCS,NumLayers,HARQ ID,NDI Flag,RV,Tx Type,FdbkOffst,CQIs
34,35,0,5,DL,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[8, 1, 9, 10, 10, 9, 8, 6, 2, 4, 2, 1, 10, 4, 3, 4, 5, 7, 1, 9]"
35,36,0,5,DL,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[6, 9, 4, 5, 1, 2, 7, 4, 9, 2, 10, 6, 8, 10, 3, 5, 5, 8, 9, 2]"
36,37,0,5,DL,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[2, 4, 1, 6, 4, 2, 3, 10, 7, 5, 10, 2, 8, 8, 6, 2, 6, 3, 2, 3]"
37,38,0,5,DL,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[9, 1, 3, 1, 5, 1, 9, 2, 1, 4, 5, 2, 10, 4, 3, 1, 3, 1, 6, 8]"
38,39,0,5,DL,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,7,5,1,0,1,0,newTx,2,"[7, 1, 1, 8, 10, 6, 2, 9, 4, 3, 8, 1, 1, 7, 7, 6, 8, 8, 8, 3]"
39,40,0,5,DL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,7,5,1,0,1,0,newTx,2,"[7, 6, 4, 1, 8, 4, 7, 8, 2, 2, 6, 5, 9, 8, 8, 1, 1, 1, 8, 10]"
40,41,0,5,DL,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,7,5,1,0,1,0,newTx,2,"[7, 2, 8, 2, 2, 7, 4, 7, 8, 6, 8, 3, 8, 10, 9, 1, 4, 4, 7, 6]"
41,42,0,5,DL,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",7,7,5,1,0,1,0,newTx,2,"[8, 4, 3, 1, 8, 3, 4, 6, 3, 7, 5, 2, 8, 2, 3, 3, 6, 1, 5, 2]"
42,43,0,5,DL,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",7,7,5,1,0,1,0,newTx,2,"[2, 8, 3, 7, 10, 5, 7, 8, 5, 7, 2, 10, 2, 3, 8, 5, 8, 4, 3, 1]"
43,44,0,5,DL,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",7,7,5,1,0,1,0,newTx,2,"[7, 5, 5, 7, 1, 4, 8, 7, 2, 2, 1, 1, 5, 7, 8, 6, 2, 7, 2, 2]"
44,45,0,5,DL,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",7,7,5,1,0,1,0,newTx,2,"[1, 2, 2, 2, 4, 4, 3, 3, 9, 8, 6, 2, 3, 1, 10, 8, 6, 4, 2, 7]"
45,46,0,5,DL,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",7,7,5,1,0,1,0,newTx,2,"[10, 2, 3, 4, 1, 7, 5, 10, 5, 7, 2, 4, 2, 8, 9, 4, 7, 3, 6, 9]"
46,47,0,5,DL,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",7,7,5,1,0,1,0,newTx,2,"[6, 4, 3, 5, 5, 4, 6, 8, 5, 5, 2, 1, 3, 4, 7, 10, 10, 5, 3, 8]"
47,48,0,5,DL,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",7,7,5,1,0,1,0,newTx,2,"[8, 8, 8, 2, 7, 5, 3, 1, 9, 2, 2, 7, 9, 6, 8, 2, 10, 6, 7, 1]"
48,49,0,5,DL,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",7,7,5,1,0,1,0,newTx,2,"[9, 8, 2, 6, 4, 6, 4, 5, 2, 3, 1, 10, 7, 10, 2, 10, 8, 6, 5, 3]"
49,50,0,5,DL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",7,7,5,1,0,1,0,newTx,2,"[8, 3, 1, 8, 7, 8, 7, 5, 4, 9, 4, 9, 8, 9, 6, 7, 10, 5, 1, 9]"
50,9,0,6,DL,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,7,5,1,0,1,3,reTx,2,"[15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]"
