     ,RNTI ,numDLTotal ,numDLnew ,numReTx_DL ,avgMCS_DL ,numULTotal ,numULnew ,numReTx_UL ,avgMCS_UL ,DL_throughput (bits) ,DL_goodput (bits) ,UL_throughput (bits) ,UL_goodput (bits) ,TTI ,PulseBWoffset ,numRBs ,NumFrames ,prf  ,FreqOffset ,PulseWidth             ,BW       ,numPulses ,pulseIdxOffset_ms
 454 ,  15 ,        89 ,      65 ,        24 ,    24.1  ,        22 ,      19 ,         3 ,    26.36 ,              152592 ,           106136 ,               45680 ,            39224 ,  7 ,      1000000 ,    51 ,        5 , 800 ,   1000000 ,5.9399999999999994e-05 , 5000000 ,        1 ,                0
 455 ,  16 ,        88 ,      61 ,        27 ,    23.82 ,        25 ,      19 ,         6 ,    25.64 ,              147680 ,            98176 ,               49320 ,            37176 ,  7 ,      1000000 ,    51 ,        5 , 800 ,   1000000 ,5.9399999999999994e-05 , 5000000 ,        1 ,                0
 456 ,  17 ,        95 ,      64 ,        31 ,    24.22 ,        22 ,      16 ,         6 ,    26.09 ,              157888 ,           103192 ,               45392 ,            32864 ,  7 ,      1000000 ,    51 ,        5 , 800 ,   1000000 ,5.9399999999999994e-05 , 5000000 ,        1 ,                0
 457 ,  18 ,        92 ,      62 ,        30 ,    23.91 ,        22 ,      16 ,         6 ,    26.09 ,              154296 ,            99384 ,               45424 ,            33280 ,  7 ,      1000000 ,    51 ,        5 , 800 ,   1000000 ,5.9399999999999994e-05 , 5000000 ,        1 ,                0
 458 ,  19 ,        90 ,      62 ,        28 ,    24.62 ,        27 ,      18 ,         9 ,    26.52 ,              155568 ,           102392 ,               55992 ,            37008 ,  7 ,      1000000 ,    51 ,        5 , 800 ,   1000000 ,5.9399999999999994e-05 , 5000000 ,        1 ,                0
 459 ,  20 ,        93 ,      63 ,        30 ,    24.81 ,        28 ,      17 ,        11 ,    26.79 ,              160656 ,           107328 ,               55680 ,            34024 ,  7 ,      1000000 ,    51 ,        5 , 800 ,   1000000 ,5.9399999999999994e-05 , 5000000 ,        1 ,                0
 460 ,   1 ,       160 ,     122 ,        38 ,    19.92 ,        85 ,      66 ,        19 ,    21.67 ,               21040 ,            14920 ,               23496 ,            18344 ,  2 ,     25000000 ,    51 ,        5 ,1250 ,  25000000 ,9.43e-05               ,10000000 ,        1 ,                0
 461 ,   2 ,       160 ,     122 ,        38 ,    19.17 ,        85 ,      65 ,        20 ,    21.8  ,               20192 ,            14544 ,               23352 ,            17488 ,  2 ,     25000000 ,    51 ,        5 ,1250 ,  25000000 ,9.43e-05               ,10000000 ,        1 ,                0
 462 ,   3 ,       159 ,     127 ,        32 ,    19.88 ,        87 ,      65 ,        22 ,    21.74 ,               21344 ,            15784 ,               23408 ,            17616 ,  2 ,     25000000 ,    51 ,        5 ,1250 ,  25000000 ,9.43e-05               ,10000000 ,        1 ,                0
 463 ,   4 ,       160 ,     125 ,        35 ,    19.48 ,        87 ,      66 ,        21 ,    21.67 ,               21384 ,            15544 ,               23528 ,            18304 ,  2 ,     25000000 ,    51 ,        5 ,1250 ,  25000000 ,9.43e-05               ,10000000 ,        1 ,                0
 464 ,   5 ,       159 ,     125 ,        34 ,    19.32 ,        83 ,      63 ,        20 ,    20.73 ,               21120 ,            15848 ,               21592 ,            17152 ,  2 ,     25000000 ,    51 ,        5 ,1250 ,  25000000 ,9.43e-05               ,10000000 ,        1 ,                0
 465 ,   6 ,       160 ,     125 ,        35 ,    19.49 ,        87 ,      66 ,        21 ,    21.36 ,               20656 ,            16096 ,               23280 ,            18360 ,  2 ,     25000000 ,    51 ,        5 ,1250 ,  25000000 ,9.43e-05               ,10000000 ,        1 ,                0
 466 ,   7 ,       160 ,     126 ,        34 ,    19.61 ,        86 ,      66 ,        20 ,    22.06 ,               20528 ,            15928 ,               24136 ,            18928 ,  2 ,     25000000 ,    51 ,        5 ,1250 ,  25000000 ,9.43e-05               ,10000000 ,        1 ,                0
 467 ,   8 ,       160 ,     128 ,        32 ,    19.26 ,        85 ,      64 ,        21 ,    21.75 ,               19624 ,            15360 ,               23616 ,            17776 ,  2 ,     25000000 ,    51 ,        5 ,1250 ,  25000000 ,9.43e-05               ,10000000 ,        1 ,                0
 468 ,   9 ,       160 ,     132 ,        28 ,    19.55 ,        89 ,      65 ,        24 ,    21.66 ,               20504 ,            16592 ,               24000 ,            17504 ,  2 ,     25000000 ,    51 ,        5 ,1250 ,  25000000 ,9.43e-05               ,10000000 ,        1 ,                0
 469 ,  10 ,       160 ,     131 ,        29 ,    19.17 ,        82 ,      64 ,        18 ,    21.09 ,               19672 ,            15976 ,               22344 ,            17224 ,  2 ,     25000000 ,    51 ,        5 ,1250 ,  25000000 ,9.43e-05               ,10000000 ,        1 ,                0
 470 ,  11 ,       160 ,     130 ,        30 ,    19.19 ,        86 ,      65 ,        21 ,    21.56 ,               19104 ,            15504 ,               24112 ,            17984 ,  2 ,     25000000 ,    51 ,        5 ,1250 ,  25000000 ,9.43e-05               ,10000000 ,        1 ,                0
 471 ,  12 ,       160 ,     128 ,        32 ,    20.23 ,        83 ,      64 ,        19 ,    22.17 ,               21296 ,            17200 ,               23888 ,            18096 ,  2 ,     25000000 ,    51 ,        5 ,1250 ,  25000000 ,9.43e-05               ,10000000 ,        1 ,                0
 472 ,  13 ,       160 ,     134 ,        26 ,    18.99 ,        83 ,      66 ,        17 ,    21.19 ,               20920 ,            17904 ,               22816 ,            18200 ,  2 ,     25000000 ,    51 ,        5 ,1250 ,  25000000 ,9.43e-05               ,10000000 ,        1 ,                0
 473 ,  14 ,       160 ,     132 ,        28 ,    19.37 ,        86 ,      66 ,        20 ,    21.48 ,               22040 ,            19040 ,               23368 ,            18472 ,  2 ,     25000000 ,    51 ,        5 ,1250 ,  25000000 ,9.43e-05               ,10000000 ,        1 ,                0
 474 ,  15 ,       160 ,     129 ,        31 ,    19.04 ,        84 ,      66 ,        18 ,    20.48 ,               20144 ,            16520 ,               22072 ,            17696 ,  2 ,     25000000 ,    51 ,        5 ,1250 ,  25000000 ,9.43e-05               ,10000000 ,        1 ,                0
 475 ,  16 ,       160 ,     127 ,        33 ,    19.74 ,        90 ,      67 ,        23 ,    21.43 ,               20856 ,            16576 ,               23848 ,            18064 ,  2 ,     25000000 ,    51 ,        5 ,1250 ,  25000000 ,9.43e-05               ,10000000 ,        1 ,                0
 476 ,  17 ,       160 ,     124 ,        36 ,    19.79 ,        89 ,      65 ,        24 ,    21.91 ,               21328 ,            16760 ,               23688 ,            17976 ,  2 ,     25000000 ,    51 ,        5 ,1250 ,  25000000 ,9.43e-05               ,10000000 ,        1 ,                0
 477 ,  18 ,       160 ,     120 ,        40 ,    19.4  ,        83 ,      65 ,        18 ,    21.06 ,               19984 ,            14752 ,               22120 ,            17976 ,  2 ,     25000000 ,    51 ,        5 ,1250 ,  25000000 ,9.43e-05               ,10000000 ,        1 ,                0
 478 ,  19 ,       160 ,     119 ,        41 ,    20.22 ,        87 ,      66 ,        21 ,    21.26 ,               21520 ,            15032 ,               23560 ,            18160 ,  2 ,     25000000 ,    51 ,        5 ,1250 ,  25000000 ,9.43e-05               ,10000000 ,        1 ,                0
 479 ,  20 ,       160 ,     119 ,        41 ,    19.81 ,        82 ,      65 ,        17 ,    21.63 ,               21496 ,            14472 ,               22576 ,            18320 ,  2 ,     25000000 ,    51 ,        5 ,1250 ,  25000000 ,9.43e-05               ,10000000 ,        1 ,                0
 480 ,   1 ,       160 ,     140 ,        20 ,    24.26 ,        87 ,      73 ,        14 ,    26.08 ,               23792 ,            21112 ,               29264 ,            24592 ,  2 ,      1000000 ,    51 ,        5 , 960 ,   1000000 ,9.199999999999998e-06  ,20000000 ,        1 ,                0
 481 ,   2 ,       160 ,     143 ,        17 ,    24.06 ,        85 ,      72 ,        13 ,    25.85 ,               23928 ,            21552 ,               28448 ,            24208 ,  2 ,      1000000 ,    51 ,        5 , 960 ,   1000000 ,9.199999999999998e-06  ,20000000 ,        1 ,                0
 482 ,   3 ,       160 ,     143 ,        17 ,    24.55 ,        88 ,      71 ,        17 ,    26.55 ,               25000 ,            22648 ,               30192 ,            24528 ,  2 ,      1000000 ,    51 ,        5 , 960 ,   1000000 ,9.199999999999998e-06  ,20000000 ,        1 ,                0
 483 ,   4 ,       160 ,     144 ,        16 ,    24.66 ,        91 ,      72 ,        19 ,    26.58 ,               25024 ,            22808 ,               30656 ,            24480 ,  2 ,      1000000 ,    51 ,        5 , 960 ,   1000000 ,9.199999999999998e-06  ,20000000 ,        1 ,                0
 484 ,   5 ,       160 ,     146 ,        14 ,    24.28 ,        90 ,      69 ,        21 ,    26.18 ,               26216 ,            24432 ,               30032 ,            23168 ,  2 ,      1000000 ,    51 ,        5 , 960 ,   1000000 ,9.199999999999998e-06  ,20000000 ,        1 ,                0
 485 ,   6 ,       160 ,     146 ,        14 ,    24.38 ,        89 ,      70 ,        19 ,    26.33 ,               25088 ,            23176 ,               29824 ,            23520 ,  2 ,      1000000 ,    51 ,        5 , 960 ,   1000000 ,9.199999999999998e-06  ,20000000 ,        1 ,                0
 486 ,   7 ,       160 ,     146 ,        14 ,    24.51 ,        91 ,      67 ,        24 ,    26.41 ,               24720 ,            23080 ,               30464 ,            22704 ,  2 ,      1000000 ,    51 ,        5 , 960 ,   1000000 ,9.199999999999998e-06  ,20000000 ,        1 ,                0
 487 ,   8 ,       160 ,     151 ,         9 ,    24.36 ,        95 ,      71 ,        24 ,    26.33 ,               25504 ,            24256 ,               31952 ,            23920 ,  2 ,      1000000 ,    51 ,        5 , 960 ,   1000000 ,9.199999999999998e-06  ,20000000 ,        1 ,                0
 488 ,   9 ,       160 ,     147 ,        13 ,    24.46 ,        95 ,      70 ,        25 ,    26.41 ,               25784 ,            24056 ,               32160 ,            23904 ,  2 ,      1000000 ,    51 ,        5 , 960 ,   1000000 ,9.199999999999998e-06  ,20000000 ,        1 ,                0
 489 ,  10 ,       160 ,     147 ,        13 ,    24.02 ,        94 ,      72 ,        22 ,    25.87 ,               25016 ,            23344 ,               31184 ,            24224 ,  2 ,      1000000 ,    51 ,        5 , 960 ,   1000000 ,9.199999999999998e-06  ,20000000 ,        1 ,                0
 490 ,  11 ,       160 ,     144 ,        16 ,    24.0  ,        90 ,      72 ,        18 ,    25.91 ,               23792 ,            21600 ,               30032 ,            24240 ,  2 ,      1000000 ,    51 ,        5 , 960 ,   1000000 ,9.199999999999998e-06  ,20000000 ,        1 ,                0
 491 ,  12 ,       160 ,     145 ,        15 ,    24.48 ,        85 ,      69 ,        16 ,    26.2  ,               24696 ,            22624 ,               28496 ,            23216 ,  2 ,      1000000 ,    51 ,        5 , 960 ,   1000000 ,9.199999999999998e-06  ,20000000 ,        1 ,                0
 492 ,  13 ,       160 ,     149 ,        11 ,    24.42 ,        88 ,      69 ,        19 ,    26.36 ,               26080 ,            24192 ,               29184 ,            23120 ,  2 ,      1000000 ,    51 ,        5 , 960 ,   1000000 ,9.199999999999998e-06  ,20000000 ,        1 ,                0
 493 ,  14 ,       160 ,     150 ,        10 ,    24.85 ,        90 ,      70 ,        20 ,    26.78 ,               26216 ,            24472 ,               30272 ,            23872 ,  2 ,      1000000 ,    51 ,        5 , 960 ,   1000000 ,9.199999999999998e-06  ,20000000 ,        1 ,                0
 494 ,  15 ,       160 ,     146 ,        14 ,    24.43 ,        86 ,      66 ,        20 ,    26.56 ,               25752 ,            23304 ,               29184 ,            22624 ,  2 ,      1000000 ,    51 ,        5 , 960 ,   1000000 ,9.199999999999998e-06  ,20000000 ,        1 ,                0
 495 ,  16 ,       160 ,     146 ,        14 ,    24.61 ,        88 ,      69 ,        19 ,    26.5  ,               25816 ,            23400 ,               30048 ,            23712 ,  2 ,      1000000 ,    51 ,        5 , 960 ,   1000000 ,9.199999999999998e-06  ,20000000 ,        1 ,                0
 496 ,  17 ,       160 ,     146 ,        14 ,    24.4  ,        90 ,      71 ,        19 ,    26.46 ,               25768 ,            23336 ,               30112 ,            24192 ,  2 ,      1000000 ,    51 ,        5 , 960 ,   1000000 ,9.199999999999998e-06  ,20000000 ,        1 ,                0
 497 ,  18 ,       160 ,     146 ,        14 ,    24.07 ,        90 ,      70 ,        20 ,    26.09 ,               24400 ,            22208 ,               30240 ,            23600 ,  2 ,      1000000 ,    51 ,        5 , 960 ,   1000000 ,9.199999999999998e-06  ,20000000 ,        1 ,                0
 498 ,  19 ,       160 ,     145 ,        15 ,    24.99 ,        94 ,      66 ,        28 ,    27.0  ,               25424 ,            22928 ,               31248 ,            22352 ,  2 ,      1000000 ,    51 ,        5 , 960 ,   1000000 ,9.199999999999998e-06  ,20000000 ,        1 ,                0
 499 ,  20 ,       160 ,     140 ,        20 ,    24.04 ,        87 ,      69 ,        18 ,    25.8  ,               23920 ,            21152 ,               28736 ,            22928 ,  2 ,      1000000 ,    51 ,        5 , 960 ,   1000000 ,9.199999999999998e-06  ,20000000 ,        1 ,                0
 500 ,   1 ,        85 ,      66 ,        19 ,    24.18 ,        27 ,      21 ,         6 ,    26.41 ,              143976 ,           108952 ,               54904 ,            41992 ,  7 ,     10000000 ,    51 ,        5 ,1200 ,  10000000 ,5.54e-05               , 1000000 ,        1 ,                0
 501 ,   2 ,        92 ,      65 ,        27 ,    24.33 ,        26 ,      20 ,         6 ,    26.31 ,              154000 ,           107928 ,               52336 ,            39808 ,  7 ,     10000000 ,    51 ,        5 ,1200 ,  10000000 ,5.54e-05               , 1000000 ,        1 ,                0
 502 ,   3 ,        83 ,      66 ,        17 ,    23.53 ,        26 ,      20 ,         6 ,    25.85 ,              133968 ,           105328 ,               51536 ,            39008 ,  7 ,     10000000 ,    51 ,        5 ,1200 ,  10000000 ,5.54e-05               , 1000000 ,        1 ,                0
 503 ,   4 ,        83 ,      67 ,        16 ,    24.3  ,        26 ,      20 ,         6 ,    26.38 ,              139480 ,           112776 ,               52016 ,            39104 ,  7 ,     10000000 ,    51 ,        5 ,1200 ,  10000000 ,5.54e-05               , 1000000 ,        1 ,                0
 504 ,   5 ,        86 ,      66 ,        20 ,    23.74 ,        28 ,      22 ,         6 ,    26.07 ,              140032 ,           105752 ,               52896 ,            40368 ,  7 ,     10000000 ,    51 ,        5 ,1200 ,  10000000 ,5.54e-05               , 1000000 ,        1 ,                0
 505 ,   6 ,        94 ,      65 ,        29 ,    23.91 ,        26 ,      20 ,         6 ,    25.77 ,              152400 ,           105928 ,               47056 ,            34912 ,  7 ,     10000000 ,    51 ,        5 ,1200 ,  10000000 ,5.54e-05               , 1000000 ,        1 ,                0
 506 ,   7 ,        95 ,      65 ,        30 ,    24.52 ,        27 ,      20 ,         7 ,    26.56 ,              163032 ,           109416 ,               52248 ,            38816 ,  7 ,     10000000 ,    51 ,        5 ,1200 ,  10000000 ,5.54e-05               , 1000000 ,        1 ,                0
 507 ,   8 ,        90 ,      67 ,        23 ,    24.33 ,        25 ,      21 ,         4 ,    26.32 ,              156728 ,           114224 ,               48584 ,            39976 ,  7 ,     10000000 ,    51 ,        5 ,1200 ,  10000000 ,5.54e-05               , 1000000 ,        1 ,                0
 508 ,   9 ,        93 ,      67 ,        26 ,    24.1  ,        24 ,      20 ,         4 ,    26.25 ,              158688 ,           112128 ,               45504 ,            36896 ,  7 ,     10000000 ,    51 ,        5 ,1200 ,  10000000 ,5.54e-05               , 1000000 ,        1 ,                0
 509 ,  10 ,        93 ,      67 ,        26 ,    23.73 ,        25 ,      21 ,         4 ,    25.8  ,              155440 ,           109408 ,               47176 ,            38952 ,  7 ,     10000000 ,    51 ,        5 ,1200 ,  10000000 ,5.54e-05               , 1000000 ,        1 ,                0
 510 ,  11 ,        95 ,      66 ,        29 ,    24.16 ,        24 ,      20 ,         4 ,    26.33 ,              161560 ,           111360 ,               46112 ,            37888 ,  7 ,     10000000 ,    51 ,        5 ,1200 ,  10000000 ,5.54e-05               , 1000000 ,        1 ,                0
 511 ,  12 ,        91 ,      62 ,        29 ,    24.56 ,        25 ,      21 ,         4 ,    26.6  ,              157440 ,           104344 ,               47976 ,            39368 ,  7 ,     10000000 ,    51 ,        5 ,1200 ,  10000000 ,5.54e-05               , 1000000 ,        1 ,                0
 512 ,  13 ,        87 ,      66 ,        21 ,    23.64 ,        25 ,      21 ,         4 ,    25.92 ,              147752 ,           108768 ,               44584 ,            37800 ,  7 ,     10000000 ,    51 ,        5 ,1200 ,  10000000 ,5.54e-05               , 1000000 ,        1 ,                0
 513 ,  14 ,        97 ,      66 ,        31 ,    24.33 ,        22 ,      21 ,         1 ,    26.18 ,              164320 ,           111176 ,               43728 ,            41576 ,  7 ,     10000000 ,    51 ,        5 ,1200 ,  10000000 ,5.54e-05               , 1000000 ,        1 ,                0
 514 ,  15 ,        98 ,      65 ,        33 ,    24.14 ,        25 ,      21 ,         4 ,    26.12 ,              167864 ,           107200 ,               49544 ,            41320 ,  7 ,     10000000 ,    51 ,        5 ,1200 ,  10000000 ,5.54e-05               , 1000000 ,        1 ,                0
 515 ,  16 ,       101 ,      64 ,        37 ,    24.27 ,        24 ,      20 ,         4 ,    25.92 ,              166104 ,           106144 ,               47040 ,            38816 ,  7 ,     10000000 ,    51 ,        5 ,1200 ,  10000000 ,5.54e-05               , 1000000 ,        1 ,                0
 516 ,  17 ,       101 ,      63 ,        38 ,    23.83 ,        24 ,      20 ,         4 ,    25.42 ,              162768 ,           102648 ,               47008 ,            38912 ,  7 ,     10000000 ,    51 ,        5 ,1200 ,  10000000 ,5.54e-05               , 1000000 ,        1 ,                0
 517 ,  18 ,        93 ,      67 ,        26 ,    23.9  ,        23 ,      19 ,         4 ,    25.78 ,              157728 ,           111656 ,               46584 ,            38360 ,  7 ,     10000000 ,    51 ,        5 ,1200 ,  10000000 ,5.54e-05               , 1000000 ,        1 ,                0
 518 ,  19 ,        90 ,      65 ,        25 ,    24.73 ,        23 ,      19 ,         4 ,    26.65 ,              155824 ,           111512 ,               45432 ,            37752 ,  7 ,     10000000 ,    51 ,        5 ,1200 ,  10000000 ,5.54e-05               , 1000000 ,        1 ,                0
 519 ,  20 ,        90 ,      66 ,        24 ,    24.3  ,        26 ,      21 ,         5 ,    26.12 ,              151136 ,           110208 ,               50160 ,            40872 ,  7 ,     10000000 ,    51 ,        5 ,1200 ,  10000000 ,5.54e-05               , 1000000 ,        1 ,                0
 520 ,   1 ,        41 ,      14 ,        27 ,    22.73 ,        13 ,       4 ,         9 ,    20.0  ,                   0 ,                0 ,                   0 ,                0 , 14 ,      5000000 ,    51 ,        5 ,4800 ,   5000000 ,8.4e-06                , 5000000 ,        1 ,                0
 521 ,   2 ,        37 ,      13 ,        24 ,    21.95 ,        13 ,       4 ,         9 ,    18.08 ,                   0 ,                0 ,                   0 ,                0 , 14 ,      5000000 ,    51 ,        5 ,4800 ,   5000000 ,8.4e-06                , 5000000 ,        1 ,                0
 522 ,   3 ,        44 ,      15 ,        29 ,    22.32 ,        13 ,       4 ,         9 ,    18.46 ,                   0 ,                0 ,                   0 ,                0 , 14 ,      5000000 ,    51 ,        5 ,4800 ,   5000000 ,8.4e-06                , 5000000 ,        1 ,                0
 523 ,   4 ,        39 ,      14 ,        25 ,    22.26 ,        13 ,       4 ,         9 ,    18.08 ,                   0 ,                0 ,                   0 ,                0 , 14 ,      5000000 ,    51 ,        5 ,4800 ,   5000000 ,8.4e-06                , 5000000 ,        1 ,                0
 524 ,   5 ,        43 ,      15 ,        28 ,    21.93 ,        13 ,       4 ,         9 ,    18.62 ,                   0 ,                0 ,                   0 ,                0 , 14 ,      5000000 ,    51 ,        5 ,4800 ,   5000000 ,8.4e-06                , 5000000 ,        1 ,                0
 525 ,   6 ,        44 ,      15 ,        29 ,    22.43 ,        13 ,       4 ,         9 ,    18.38 ,                   0 ,                0 ,                   0 ,                0 , 14 ,      5000000 ,    51 ,        5 ,4800 ,   5000000 ,8.4e-06                , 5000000 ,        1 ,                0
 526 ,   7 ,        42 ,      14 ,        28 ,    22.26 ,        12 ,       4 ,         8 ,    22.0  ,                   0 ,                0 ,                   0 ,                0 , 14 ,      5000000 ,    51 ,        5 ,4800 ,   5000000 ,8.4e-06                , 5000000 ,        1 ,                0
 527 ,   8 ,        44 ,      14 ,        30 ,    22.02 ,        13 ,       4 ,         9 ,    22.38 ,                   0 ,                0 ,                   0 ,                0 , 14 ,      5000000 ,    51 ,        5 ,4800 ,   5000000 ,8.4e-06                , 5000000 ,        1 ,                0
 528 ,   9 ,        36 ,      14 ,        22 ,    21.81 ,         9 ,       3 ,         6 ,    20.33 ,                   0 ,                0 ,                   0 ,                0 , 14 ,      5000000 ,    51 ,        5 ,4800 ,   5000000 ,8.4e-06                , 5000000 ,        1 ,                0
 529 ,  10 ,        45 ,      14 ,        31 ,    22.76 ,        12 ,       4 ,         8 ,    22.42 ,                   0 ,                0 ,                   0 ,                0 , 14 ,      5000000 ,    51 ,        5 ,4800 ,   5000000 ,8.4e-06                , 5000000 ,        1 ,                0
 530 ,  11 ,        44 ,      14 ,        30 ,    22.11 ,        10 ,       3 ,         7 ,    21.0  ,                   0 ,                0 ,                   0 ,                0 , 14 ,      5000000 ,    51 ,        5 ,4800 ,   5000000 ,8.4e-06                , 5000000 ,        1 ,                0
 531 ,  12 ,        41 ,      13 ,        28 ,    23.85 ,         9 ,       3 ,         6 ,    20.56 ,                   0 ,                0 ,                   0 ,                0 , 14 ,      5000000 ,    51 ,        5 ,4800 ,   5000000 ,8.4e-06                , 5000000 ,        1 ,                0
 532 ,  13 ,        43 ,      15 ,        28 ,    22.81 ,        11 ,       4 ,         7 ,    21.36 ,                   0 ,                0 ,                   0 ,                0 , 14 ,      5000000 ,    51 ,        5 ,4800 ,   5000000 ,8.4e-06                , 5000000 ,        1 ,                0
 533 ,  14 ,        38 ,      12 ,        26 ,    20.53 ,         9 ,       3 ,         6 ,    20.11 ,                   0 ,                0 ,                   0 ,                0 , 14 ,      5000000 ,    51 ,        5 ,4800 ,   5000000 ,8.4e-06                , 5000000 ,        1 ,                0
 534 ,  15 ,        41 ,      13 ,        28 ,    21.54 ,         9 ,       3 ,         6 ,    20.56 ,                   0 ,                0 ,                   0 ,                0 , 14 ,      5000000 ,    51 ,        5 ,4800 ,   5000000 ,8.4e-06                , 5000000 ,        1 ,                0
 535 ,  16 ,        44 ,      13 ,        31 ,    22.95 ,         9 ,       3 ,         6 ,    20.56 ,                   0 ,                0 ,                   0 ,                0 , 14 ,      5000000 ,    51 ,        5 ,4800 ,   5000000 ,8.4e-06                , 5000000 ,        1 ,                0
 536 ,  17 ,        43 ,      14 ,        29 ,    22.16 ,         9 ,       3 ,         6 ,    20.56 ,                   0 ,                0 ,                   0 ,                0 , 14 ,      5000000 ,    51 ,        5 ,4800 ,   5000000 ,8.4e-06                , 5000000 ,        1 ,                0
 537 ,  18 ,        37 ,      12 ,        25 ,    21.11 ,         9 ,       3 ,         6 ,    20.11 ,                   0 ,                0 ,                   0 ,                0 , 14 ,      5000000 ,    51 ,        5 ,4800 ,   5000000 ,8.4e-06                , 5000000 ,        1 ,                0
 538 ,  19 ,        44 ,      13 ,        31 ,    21.36 ,         9 ,       3 ,         6 ,    23.56 ,                   0 ,                0 ,                   0 ,                0 , 14 ,      5000000 ,    51 ,        5 ,4800 ,   5000000 ,8.4e-06                , 5000000 ,        1 ,                0
 539 ,  20 ,        41 ,      13 ,        28 ,    21.39 ,         9 ,       3 ,         6 ,    20.22 ,                   0 ,                0 ,                   0 ,                0 , 14 ,      5000000 ,    51 ,        5 ,4800 ,   5000000 ,8.4e-06                , 5000000 ,        1 ,                0
 540 ,   1 ,        40 ,      21 ,        19 ,    20.45 ,        12 ,       5 ,         7 ,    21.67 ,                   0 ,                0 ,                   0 ,                0 , 14 ,            0 ,    51 ,        5 ,1500 ,         0 ,4.39e-05               ,20000000 ,        1 ,                0
 541 ,   2 ,        46 ,      22 ,        24 ,    21.24 ,        10 ,       6 ,         4 ,    23.7  ,                   0 ,                0 ,                   0 ,                0 , 14 ,            0 ,    51 ,        5 ,1500 ,         0 ,4.39e-05               ,20000000 ,        1 ,                0
 542 ,   3 ,        44 ,      20 ,        24 ,    21.8  ,        11 ,       7 ,         4 ,    21.73 ,                   0 ,                0 ,                   0 ,                0 , 14 ,            0 ,    51 ,        5 ,1500 ,         0 ,4.39e-05               ,20000000 ,        1 ,                0
 543 ,   4 ,        46 ,      22 ,        24 ,    21.65 ,        10 ,       6 ,         4 ,    21.2  ,                   0 ,                0 ,                   0 ,                0 , 14 ,            0 ,    51 ,        5 ,1500 ,         0 ,4.39e-05               ,20000000 ,        1 ,                0
 544 ,   5 ,        44 ,      19 ,        25 ,    21.82 ,        11 ,       7 ,         4 ,    21.18 ,                   0 ,                0 ,                   0 ,                0 , 14 ,            0 ,    51 ,        5 ,1500 ,         0 ,4.39e-05               ,20000000 ,        1 ,                0
 545 ,   6 ,        46 ,      21 ,        25 ,    21.89 ,        10 ,       6 ,         4 ,    20.4  ,                   0 ,                0 ,                   0 ,                0 , 14 ,            0 ,    51 ,        5 ,1500 ,         0 ,4.39e-05               ,20000000 ,        1 ,                0
 546 ,   7 ,        46 ,      21 ,        25 ,    22.3  ,        13 ,       6 ,         7 ,    18.38 ,                   0 ,                0 ,                   0 ,                0 , 14 ,            0 ,    51 ,        5 ,1500 ,         0 ,4.39e-05               ,20000000 ,        1 ,                0
 547 ,   8 ,        42 ,      20 ,        22 ,    21.95 ,        13 ,       6 ,         7 ,    18.54 ,                   0 ,                0 ,                   0 ,                0 , 14 ,            0 ,    51 ,        5 ,1500 ,         0 ,4.39e-05               ,20000000 ,        1 ,                0
 548 ,   9 ,        41 ,      20 ,        21 ,    20.63 ,        12 ,       5 ,         7 ,    19.92 ,                   0 ,                0 ,                   0 ,                0 , 14 ,            0 ,    51 ,        5 ,1500 ,         0 ,4.39e-05               ,20000000 ,        1 ,                0
 549 ,  10 ,        44 ,      20 ,        24 ,    22.77 ,        13 ,       6 ,         7 ,    18.08 ,                   0 ,                0 ,                   0 ,                0 , 14 ,            0 ,    51 ,        5 ,1500 ,         0 ,4.39e-05               ,20000000 ,        1 ,                0
 550 ,  11 ,        44 ,      20 ,        24 ,    22.07 ,        13 ,       6 ,         7 ,    22.08 ,                   0 ,                0 ,                   0 ,                0 , 14 ,            0 ,    51 ,        5 ,1500 ,         0 ,4.39e-05               ,20000000 ,        1 ,                0
 551 ,  12 ,        43 ,      20 ,        23 ,    23.65 ,        12 ,       3 ,         9 ,    20.08 ,                   0 ,                0 ,                   0 ,                0 , 14 ,            0 ,    51 ,        5 ,1500 ,         0 ,4.39e-05               ,20000000 ,        1 ,                0
 552 ,  13 ,        47 ,      21 ,        26 ,    22.4  ,        13 ,       4 ,         9 ,    19.38 ,                   0 ,                0 ,                   0 ,                0 , 14 ,            0 ,    51 ,        5 ,1500 ,         0 ,4.39e-05               ,20000000 ,        1 ,                0
 553 ,  14 ,        44 ,      21 ,        23 ,    21.84 ,         9 ,       5 ,         4 ,    17.78 ,                   0 ,                0 ,                   0 ,                0 , 14 ,            0 ,    51 ,        5 ,1500 ,         0 ,4.39e-05               ,20000000 ,        1 ,                0
 554 ,  15 ,        46 ,      21 ,        25 ,    21.11 ,         9 ,       5 ,         4 ,    20.33 ,                   0 ,                0 ,                   0 ,                0 , 14 ,            0 ,    51 ,        5 ,1500 ,         0 ,4.39e-05               ,20000000 ,        1 ,                0
 555 ,  16 ,        39 ,      20 ,        19 ,    22.97 ,         9 ,       5 ,         4 ,    20.33 ,                   0 ,                0 ,                   0 ,                0 , 14 ,            0 ,    51 ,        5 ,1500 ,         0 ,4.39e-05               ,20000000 ,        1 ,                0
